"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Labor LogicalModel FHIR Mapping"
"Laborbefund","Laborbefund","","","",0,*,"","","","null {[]} {[]}
","Das Basismodul Laborbefunde enthält strukturierte Informationen zu Laboruntersuchungen als komplexe diagnostische Maßnahmen.","Logische Repräsentation des Basismoduls Labor","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Laborbefund.id","Laborbefund.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Laborbefund.extension","Laborbefund.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Laborbefund.Identifikation","Laborbefund.Identifikation","","","",1,*,"","","","Identifier {[]} {[]}
","Identifikator des Laborbefunds","Identifikator des Laborbefunds","","","","","","","","","",,,,,"",,,,"Laborbefund.Identifikation",1,*,"","","DiagnosticReport.identifier"
"Laborbefund.Status","Laborbefund.Status","","","",1,1,"","","","code {[]} {[]}
","Status des Laborbefunds:","vorläufig (noch nicht final validiert, noch Untersuchungen ausstehend, Änderungen sind noch möglich)
final (Endbefund, sollte nicht mehr geändert werden.)
final korrigiert (nachdem eine finale Version freigegeben wurde, musste trotzdem noch Änderungen vorgenommen werden.)","","","","","","","","","",,,,,"",,,,"Laborbefund.Status",1,1,"","","DiagnosticReport.status"
"Laborbefund.KlinischerBezugszeitpunkt","Laborbefund.KlinischerBezugszeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Zeitpunkt, zu dem die gemessene Eigenschaft im Probenmaterial (e.g. Analytkonzentration) mutmaßlich der Eigenschaft im Patienten entsprach. Wenn der Zeitpunkt der Probenentnahme angegeben ist, wird dieses Datum verwendet. Andernfalls wird behelfsmäßig der Probeneingang im Labor gewählt. Das ""Gültigkeitsdatum"" ist wichtig um verschiedene Analysen im Zeitverlauf sortieren zu können.","Zeitpunkt, zu dem die gemessene Eigenschaft im Probenmaterial (e.g. Analytkonzentration) mutmaßlich der Eigenschaft im Patienten entsprach. Wenn der Zeitpunkt der Probenentnahme angegeben ist, wird dieses Datum verwendet. Andernfalls wird behelfsmäßig der Probeneingang im Labor gewählt. Das ""Gültigkeitsdatum"" ist wichtig um verschiedene Analysen im Zeitverlauf sortieren zu können.","","","","","","","","","",,,,,"",,,,"Laborbefund.KlinischerBezugszeitpunkt",1,1,"","","DiagnosticReport.effective[x]"
"Laborbefund.Dokumentationsdatum","Laborbefund.Dokumentationsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","Zeitpunkt, an dem der Laborbefund dokumentiert wurde.","Zeitpunkt, an dem der Laborbefund dokumentiert wurde.","","","","","","","","","",,,,,"",,,,"Laborbefund.Dokumentationsdatum",1,1,"","","DiagnosticReport.issued"
"Laborbefund.Probenmaterial","Laborbefund.Probenmaterial","","","",0,*,"","","","BackboneElement {[]} {[]}
","Probe, auf deren Basis die Laboruntersuchungen angefertigt werden","Probe, auf deren Basis die Laboruntersuchungen angefertigt werden","","","","","","","","","",,,,,"",,,,"Laborbefund.Probenmaterial",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Specimen"
"Laborbefund.Probenmaterial.id","Laborbefund.Probenmaterial.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Laborbefund.Probenmaterial.extension","Laborbefund.Probenmaterial.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
