Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-labor.json	24559	-	0	0	0	0	0	0	22	263	0	0	0	0	0	0	0	0	0	0	20	204	341	0	0	0	6	0	7
fsh-generated/resources/CapabilityStatement-mii-cps-labor-capabilitystatement.json	29418	11	0	0	2	0	0	0	4	44	0	0	0	0	0	0	0	1	0	0	7	98	108	0	0	0	3	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-labor-laborbefund.json	1809	4	0	0	0	0	0	0	0	1694	0	0	0	0	0	0	0	0	0	0	6	15	51	0	0	0	0	0	0
fsh-generated/resources/Encounter-555.json	333	2	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	6	6	18	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-data-absent-reason.json	3206	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	4	19	60	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-range.json	2509	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	12	39	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-ratio.json	2444	3	0	0	0	0	0	0	1	1975	0	0	0	0	0	0	0	0	0	0	4	13	41	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert.json	4030	3	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	4	17	54	0	0	0	0	0	1
fsh-generated/resources/Organization-7772.json	220	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	13	0	0	0	0	0	0
fsh-generated/resources/Patient-111.json	165	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	5	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-labor-laboranforderung.json	1504	2	0	0	0	0	0	0	1	1531	0	0	0	0	0	0	0	0	0	0	4	10	42	0	0	0	0	0	0
fsh-generated/resources/Specimen-4999.json	169	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	5	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-labor-interpretationsbeeinflussende-eigenschaft.json	7931	3	0	73	0	0	0	0	0	543	0	0	1	0	0	0	0	1	0	0	1	93	823	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-ex-labor-quelle-klinisches-bezugsdatum.json	7341	4	0	27	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	88	303	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-lm-labor.json	39281	14	0	79	0	0	0	0	0	88	0	0	1	0	0	0	0	1	0	0	4	479	898	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboranforderung.json	33874	13	0	122	0	0	0	0	0	85	0	0	0	0	0	0	0	2	0	0	1	617	1604	0	0	0	20	1	5
fsh-generated/resources/StructureDefinition-mii-pr-labor-laborbefund.json	46110	16	0	135	0	0	0	0	0	79	0	0	1	0	0	0	0	1	0	0	2	700	1323	0	1	0	21	0	5
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboruntersuchung.json	66848	22	0	162	0	0	0	0	1	280	0	0	1	0	0	0	0	3	0	0	1	1042	10175	0	0	0	29	0	8
fsh-generated/resources/ValueSet-mii-vs-labor-identifier-type-codes.json	5769	5	0	0	0	0	0	0	1	134	0	0	0	0	0	0	0	0	0	0	5	18	190	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation-eigenschaften-snomedct.json	6153	4	0	0	1	0	0	0	1	513	0	0	0	0	0	0	0	0	0	0	4	17	638	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation.json	6857	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	4	21	114	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborbereich.json	7844	4	0	0	0	0	0	0	1	527	0	0	0	0	0	0	0	0	0	0	5	24	636	0	0	0	0	0	1
fsh-generated/resources/ValueSet-mii-vs-labor-laborergbenis-semiquantitativ.json	6719	3	0	0	0	0	0	0	1	518	0	0	0	0	0	0	0	0	0	0	4	20	104	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-codiert.json	5786	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	14	101	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-qualitativ.json	6809	4	0	0	0	0	0	0	1	1023	0	0	0	0	0	0	0	0	0	0	4	19	107	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-order-codes.json	5635	3	0	0	0	0	0	0	1	506	0	0	0	0	0	0	0	0	0	0	4	15	1192	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-quelle-klinisches-bezugsdatum.json	5834	5	0	0	0	0	0	0	1	507	0	0	0	0	0	0	0	0	0	0	4	16	573	0	0	0	1	0	1
input/resources/Parameters-expansion-manifest.json	702	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	20	1117	0	0	0	0	0	0
/input/includes/menu.xml	5686	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2143	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/logical-models.md	850	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
