Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-labor.json	24559	-	0	0	0	0	0	0	20	188	0	0	0	0	0	0	0	1	0	0	18	175	247	0	0	0	6	0	6
fsh-generated/resources/CapabilityStatement-mii-cps-labor-capabilitystatement.json	29418	9	0	0	2	0	0	0	3	39	0	0	0	0	0	0	0	0	0	0	8	93	101	0	1	0	2	0	2
fsh-generated/resources/DiagnosticReport-mii-exa-labor-laborbefund.json	1731	2	0	0	0	0	0	0	0	1960	0	0	0	0	0	0	0	0	0	0	7	13	47	0	0	1	0	0	0
fsh-generated/resources/Encounter-555.json	333	2	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	7	5	16	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-data-absent-reason.json	3166	2	0	0	0	0	0	0	1	964	0	0	0	0	0	0	0	0	0	0	4	19	41	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-range.json	2431	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	13	29	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-ratio.json	2366	3	0	0	0	0	0	0	1	1286	0	0	0	0	0	0	0	0	0	0	2	12	28	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert.json	3990	3	0	0	0	0	0	0	0	1297	0	0	0	0	0	0	0	0	0	0	2	16	32	0	0	0	0	0	0
fsh-generated/resources/Organization-7772.json	220	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	4	12	0	0	0	0	0	0
fsh-generated/resources/Patient-111.json	165	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-labor-laboranforderung.json	1504	2	0	0	0	0	0	0	0	988	0	0	0	0	0	0	0	0	0	0	3	10	30	0	0	0	0	0	0
fsh-generated/resources/Specimen-4999.json	169	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	4	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-labor-interpretationsbeeinflussende-eigenschaft.json	7931	3	0	25	1	0	0	0	1	422	0	0	1	0	0	0	0	1	0	0	1	98	911	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-mii-ex-labor-quelle-klinisches-bezugsdatum.json	7341	3	0	22	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	93	344	0	0	0	2	0	0
