Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-labor.json	24196	-	0	0	0	0	0	0	18	107	0	0	0	0	0	0	0	1	0	0	21	223	374	0	0	0	6	0	6
fsh-generated/resources/CapabilityStatement-mii-cps-labor-capabilitystatement.json	29363	7	0	0	2	0	0	0	3	39	0	0	0	0	0	0	0	0	0	0	10	97	171	0	0	0	4	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-labor-laborbefund.json	1798	2	0	0	0	0	0	0	0	1275	0	0	0	0	0	0	0	0	0	0	8	15	63	0	0	0	0	0	1
fsh-generated/resources/Encounter-555.json	333	2	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	9	6	20	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-data-absent-reason.json	3195	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	19	74	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-range.json	2509	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	8	13	49	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-ratio.json	2444	2	0	0	0	0	0	0	0	1374	0	0	0	0	0	0	0	0	0	0	9	13	36	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert.json	4019	2	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	6	18	33	0	0	0	0	0	0
fsh-generated/resources/Organization-7772.json	220	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	11	0	0	0	0	0	0
fsh-generated/resources/Patient-111.json	165	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	14	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-labor-laboranforderung.json	1493	2	0	0	0	0	0	0	1	992	0	0	0	0	0	0	0	0	0	0	6	11	27	0	0	0	0	0	0
fsh-generated/resources/Specimen-4999.json	169	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-labor-interpretationsbeeinflussende-eigenschaft.json	7909	3	0	25	0	0	0	0	0	87	0	0	1	0	0	0	0	1	0	0	0	101	861	1	0	0	3	0	0
