Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-labor.json	24559	-	0	0	0	0	0	0	16	81	0	0	0	0	0	0	0	1	0	0	16	116	274	0	0	0	4	0	3
fsh-generated/resources/CapabilityStatement-mii-cps-labor-capabilitystatement.json	29418	5	0	0	1	0	0	0	3	25	0	0	0	0	0	0	0	0	0	0	9	53	101	0	0	0	2	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-labor-laborbefund.json	1731	1	0	0	0	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	4	7	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-555.json	333	1	0	0	1	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	3	4	11	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-data-absent-reason.json	3166	1	0	0	0	0	0	0	1	1326	0	0	0	0	0	0	0	0	0	0	4	12	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-range.json	2431	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	8	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-ratio.json	2366	2	0	0	0	0	0	0	0	1758	0	0	0	0	0	0	0	0	0	0	3	7	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert.json	3990	1	0	0	0	0	0	0	1	1755	0	0	0	0	0	0	0	0	0	0	4	9	30	0	0	0	0	0	0
fsh-generated/resources/Organization-7772.json	220	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	8	0	0	0	0	0	0
fsh-generated/resources/Patient-111.json	165	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-labor-laboranforderung.json	1504	1	0	0	0	0	0	0	0	1345	0	0	0	0	0	0	0	0	0	0	2	7	23	0	0	0	0	0	0
fsh-generated/resources/Specimen-4999.json	169	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-labor-interpretationsbeeinflussende-eigenschaft.json	7931	2	0	32	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	1	58	634	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-ex-labor-quelle-klinisches-bezugsdatum.json	7341	2	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	65	175	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-lm-labor.json	39281	6	0	65	0	0	0	0	0	64	0	0	1	0	0	0	0	1	0	0	5	300	573	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboranforderung.json	33874	6	0	110	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	1	378	1040	0	0	0	14	0	4
fsh-generated/resources/StructureDefinition-mii-pr-labor-laborbefund.json	46950	7	0	115	0	0	0	0	1	81	0	0	1	0	0	0	0	1	0	0	1	345	896	0	1	0	15	0	4
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboruntersuchung.json	67816	9	0	174	0	0	0	0	0	132	0	0	0	0	0	0	0	2	0	0	2	545	8258	0	0	0	24	0	6
fsh-generated/resources/ValueSet-mii-vs-labor-identifier-type-codes.json	5769	2	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	3	10	117	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation-eigenschaften-snomedct.json	6153	2	0	0	0	0	0	0	1	452	0	0	0	0	0	0	0	0	0	0	2	10	528	0	0	0	1	0	1
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation.json	6857	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	13	69	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborbereich.json	7844	2	0	0	1	0	0	0	1	465	0	0	0	0	0	0	0	0	0	0	2	14	515	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergbenis-semiquantitativ.json	6719	2	0	0	0	0	0	0	1	456	0	0	0	0	0	0	0	0	0	0	3	11	64	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-codiert.json	5786	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	10	59	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-qualitativ.json	6809	3	0	0	0	0	0	0	1	919	0	0	0	0	0	0	0	0	0	0	3	16	65	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-order-codes.json	5635	2	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	20	9	813	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-quelle-klinisches-bezugsdatum.json	5834	1	0	0	0	0	0	0	1	442	0	0	0	0	0	0	0	0	0	0	2	10	505	0	0	0	1	0	1
input/resources/Parameters-expansion-manifest.json	702	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	11	970	0	0	0	0	0	0
/input/includes/menu.xml	5686	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2143	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/version-history.md	196	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
