Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-labor.json	24218	-	0	0	0	0	0	0	21	222	0	0	0	0	1	0	0	1	0	0	18	174	260	0	0	0	7	0	7
fsh-generated/resources/CapabilityStatement-mii-cps-labor-capabilitystatement.json	29363	11	0	0	1	0	0	0	3	38	0	0	0	0	0	0	0	0	0	0	10	83	106	0	0	0	3	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-labor-laborbefund.json	1788	3	0	0	0	0	1	0	0	1202	0	0	0	0	0	0	0	0	0	0	5	13	37	0	0	0	0	0	0
fsh-generated/resources/Encounter-555.json	333	2	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	4	6	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-data-absent-reason.json	3207	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	5	16	45	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-range.json	2537	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	12	33	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert-ratio.json	2468	2	0	0	0	0	0	0	1	644	0	0	0	0	0	0	0	0	0	0	3	10	31	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-labor-laborwert.json	4041	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	16	39	0	0	0	0	0	1
fsh-generated/resources/Organization-7772.json	220	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	12	0	0	0	0	0	0
fsh-generated/resources/Patient-111.json	165	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-labor-laboranforderung.json	1493	3	0	0	1	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	4	9	36	0	0	0	0	0	0
fsh-generated/resources/Specimen-4999.json	169	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	5	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-labor-interpretationsbeeinflussende-eigenschaft.json	7909	5	0	27	0	0	0	0	0	513	0	0	1	0	0	0	0	1	0	0	1	88	882	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-mii-ex-labor-quelle-klinisches-bezugsdatum.json	7319	4	0	26	0	0	0	1	0	15	0	0	0	0	1	0	0	0	0	0	0	84	349	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-mii-lm-labor.json	39259	17	0	89	0	0	0	0	0	91	0	0	0	0	0	0	0	1	0	0	7	455	1001	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboranforderung.json	33852	15	0	145	0	0	0	0	1	108	0	0	1	0	0	0	0	2	0	0	1	565	1467	0	0	0	27	0	5
fsh-generated/resources/StructureDefinition-mii-pr-labor-laborbefund.json	46088	21	0	149	0	0	0	0	0	103	0	0	1	0	1	0	0	2	0	0	2	638	1398	0	0	0	28	0	4
fsh-generated/resources/StructureDefinition-mii-pr-labor-laboruntersuchung.json	66328	34	0	222	0	0	0	0	0	168	0	0	1	0	0	0	0	4	0	0	2	1008	4536	0	0	0	42	0	7
fsh-generated/resources/ValueSet-mii-vs-labor-identifier-type-codes.json	5719	4	0	0	1	0	0	0	1	113	0	0	0	0	0	0	0	0	0	0	5	19	186	0	0	0	1	0	1
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation-eigenschaften-snomedct.json	6171	4	0	0	0	0	0	0	0	988	0	0	0	0	0	0	0	0	0	0	4	16	217	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-interpretation.json	6044	3	0	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	3	19	106	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborbereich.json	7682	4	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0	0	0	0	3	21	227	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergbenis-semiquantitativ.json	6697	3	0	0	0	0	0	0	1	213	0	0	0	0	0	0	0	0	0	0	3	19	251	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-codiert.json	5764	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	15	75	0	0	0	1	0	1
fsh-generated/resources/ValueSet-mii-vs-labor-laborergebnis-qualitativ.json	6787	4	0	0	0	0	0	0	1	365	0	0	0	0	1	0	0	0	0	0	3	22	87	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-order-codes.json	5613	2	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	4	13	553	0	1	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-labor-quelle-klinisches-bezugsdatum.json	5852	4	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	4	15	205	0	0	0	1	0	0
input/resources/Parameters-expansion-manifest.json	603	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	18	3842	0	0	0	0	0	1
/input/includes/menu.xml	3475	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2143	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/logical-models.md	302	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/examples.md	478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/general-requirements.md	287	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/search-parameters-and-operations.md	563	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.md	2999	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/guidance.md	5692	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/researcher-guidance.md	405	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/references.md	574	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2027	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/project-context.md	739	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/translationinfo.md	220	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/specimen.md	785	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/extensions.md	3411	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
